episode,env_step,return,length,success,epsilon,gradient_steps_so_far,latest_loss
1,200,-200.0,200,0,0.9960399,0,
2,400,-200.0,200,0,0.9920599,0,
3,600,-200.0,200,0,0.9880799,0,
4,800,-200.0,200,0,0.9840999,0,
5,1000,-200.0,200,0,0.9801199,1,0.3580741882324219
6,1200,-200.0,200,0,0.9761399,201,0.0003393007500562817
7,1400,-200.0,200,0,0.9721599,401,0.00016622751718387008
8,1600,-200.0,200,0,0.9681799,601,0.000174985034391284
9,1800,-200.0,200,0,0.9641999,801,0.00020782134379260242
10,2000,-200.0,200,0,0.9602199,1001,0.0004955597105436027
